Date : 2025-01-27 17:55:28
Directory : /home/manuareraa/Manu/github/exira/platform/frontend
Total : 118 files,  21570 codes, 127 comments, 1029 blanks, all 22726 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/hover-card.tsx                                  | TypeScript JSX     |         23 |          0 |          7 |         30 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/input-otp.tsx                                   | TypeScript JSX     |         63 |          0 |          9 |         72 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/input.tsx                                       | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/label.tsx                                       | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/menubar.tsx                                     | TypeScript JSX     |        217 |          0 |         20 |        237 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/navigation-menu.tsx                             | TypeScript JSX     |        117 |          0 |         12 |        129 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/pagination.tsx                                  | TypeScript JSX     |        107 |          0 |         11 |        118 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/popover.tsx                                     | TypeScript JSX     |         25 |          0 |          7 |         32 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/progress.tsx                                    | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/radio-group.tsx                                 | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/resizable.tsx                                   | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/scroll-area.tsx                                 | TypeScript JSX     |         43 |          0 |          6 |         49 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/select.tsx                                      | TypeScript JSX     |        146 |          0 |         15 |        161 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/separator.tsx                                   | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sheet.tsx                                       | TypeScript JSX     |        125 |          0 |         16 |        141 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sidebar.tsx                                     | TypeScript JSX     |        697 |         12 |         55 |        764 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/skeleton.tsx                                    | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/slider.tsx                                      | TypeScript JSX     |         24 |          0 |          5 |         29 |
