"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 15, 142
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 6, 67
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 0, 31, 263
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 327, 0, 0, 2, 37, 366
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
